"vocabulary","meaning_en","meaning_vi","hiragana","kanji_vi","sentence","sentence_translation_en","sentence_translation_vi","note"
"大根","Daikon (Japanese white radish)","Củ cải trắng (Daikon)","だいこん","Đại Căn<br>大 (Đại): nghĩa là to, lớn.<br>根 (Căn): nghĩa là rễ, gốc rễ.","大根をサラダに入れました。","I put daikon in the salad.","Tôi đã cho củ cải trắng vào món salad.","大根 là một loại củ cải trắng phổ biến trong ẩm thực Nhật Bản, thường được dùng trong các món như nấu canh, muối chua, hoặc ăn sống."
"なす","eggplant; to do, to accomplish (as a verb)","cà tím; làm, thực hiện (dạng động từ)","なす","なす thường được viết bằng hiragana khi mang nghĩa là 'làm, thực hiện'. Khi là danh từ 'cà tím', nó có kanji là 茄子.<br>茄 (gia): nghĩa là cà, một loại cây.<br>子 (tử): nghĩa là con, cái, chỉ vật nhỏ.","夕食に茄子の天ぷらを作りました。","I made eggplant tempura for dinner.","Tôi đã làm tempura cà tím cho bữa tối.","なす là từ đa nghĩa: khi là danh từ (cà tím) thường dùng trong ẩm thực, khi là động từ (為す) nghĩa là 'làm, thực hiện', nhưng dạng động từ này thường thấy trong văn viết hoặc các thành ngữ."
"きのこ","Mushroom","Nấm","きのこ","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Tuy nhiên, đôi khi có thể thấy dạng kanji là 木の子.<br>木 (Mộc): nghĩa là cây.<br>子 (Tử): nghĩa là con, đứa trẻ.<br>=> 木の子: 'Con của cây', ám chỉ nấm mọc trên cây.","きのこが森の中にたくさん生えています。","There are many mushrooms growing in the forest.","Có rất nhiều nấm mọc trong rừng.","きのこ là từ chung chỉ các loại nấm ăn được hoặc không ăn được. Thường dùng trong nấu ăn và sinh học. Thường viết bằng hiragana hoặc katakana."
"鮭","Salmon","Cá hồi","さけ","Cá Hồi<br>鮭 (Cá Hồi): chỉ loài cá hồi, một loại cá sống ở cả nước ngọt và nước mặn, thường được dùng làm thực phẩm.","朝ごはんに鮭を食べました。","I ate salmon for breakfast.","Tôi đã ăn cá hồi vào bữa sáng.","鮭 có thể đọc là さけ (sake) hoặc しゃけ (shake), đều chỉ cá hồi. Ngoài ra, さけ cũng có nghĩa là rượu, nhưng khi viết bằng kanji 鮭 thì nghĩa là cá hồi."
"まぐろ","tuna (fish)","cá ngừ","まぐろ","Từ này thường được viết bằng hiragana hoặc katakana (マグロ), không có kanji phổ biến. Khi dùng kanji, có thể viết là 鮪.<br>鮪 (Ngư): 魚 (Ngư) nghĩa là cá. 有 (Hữu) nghĩa là có, tồn tại. Tuy nhiên, trong trường hợp này, 鮪 là chữ Hán dùng để chỉ cá ngừ.","寿司屋でまぐろを注文しました。","I ordered tuna at the sushi restaurant.","Tôi đã gọi cá ngừ ở quán sushi.","まぐろ là một loại cá rất phổ biến trong ẩm thực Nhật Bản, đặc biệt là trong sushi và sashimi. Thường được viết bằng katakana (マグロ) trong thực đơn."
"さば","mackerel (a type of fish)","cá thu","さば","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Khi dùng kanji, có thể viết là ""鯖"".<br>鯖 (Tề): 魚 (Ngư) nghĩa là cá, 青 (Thanh) nghĩa là màu xanh. Chữ này chỉ loại cá có màu xanh đặc trưng.","昨日、スーパーで新鮮なさばを買いました。","Yesterday, I bought fresh mackerel at the supermarket.","Hôm qua, tôi đã mua cá thu tươi ở siêu thị.","さば là loại cá phổ biến trong ẩm thực Nhật Bản, thường dùng làm món nướng, hấp hoặc sushi. Từ này thường được viết bằng hiragana hoặc katakana."
"いわし","sardine","cá mòi","いわし","Từ này thường được viết bằng hiragana hoặc katakana (いわし / イワシ), không có kanji phổ biến trong tiếng Nhật hiện đại. Tuy nhiên, đôi khi có thể thấy các dạng kanji như 鰯.<br>鰯 (Ngư Nhược):<br>鰯 (Ngư): cá<br>弱 (Nhược): yếu, chỉ sự yếu ớt của loài cá này (dễ chết khi bị bắt lên khỏi nước).","いわしは健康に良い魚です。","Sardines are a healthy fish.","Cá mòi là một loại cá tốt cho sức khỏe.","いわし là một loại cá nhỏ, giàu dinh dưỡng, thường được dùng trong ẩm thực Nhật Bản. Từ này chủ yếu được viết bằng hiragana hoặc katakana."
"かつお","Bonito (a type of fish, often used in Japanese cuisine)","Cá ngừ bào (cá bonito, thường dùng trong ẩm thực Nhật Bản)","かつお","Từ này thường được viết bằng hiragana hoặc katakana là かつお hoặc カツオ. Khi viết bằng kanji là 鰹.<br>鰹 (かつお):<br>- 魚 (Ngư): nghĩa là cá.<br>- 堅 (Kiên): nghĩa là cứng, chắc (ở đây chỉ đặc tính của cá).","だしを作るために、かつおを使います。","I use bonito to make soup stock.","Tôi dùng cá ngừ bào để nấu nước dùng.","かつお (bonito) là một loại cá rất phổ biến trong ẩm thực Nhật Bản, đặc biệt là để làm だし (nước dùng). Cá này thường được bào mỏng thành かつおぶし (cá ngừ bào khô)."
"たら","if; when (conditional form)","nếu; khi (dạng điều kiện)","たら","Từ này không có kanji, là dạng ngữ pháp dùng trong tiếng Nhật để diễn tả điều kiện hoặc kết quả xảy ra sau một hành động.","雨が降ったら、出かけません。","If it rains, I won't go out.","Nếu trời mưa, tôi sẽ không ra ngoài.","たら là một mẫu ngữ pháp dùng để diễn tả điều kiện hoặc kết quả xảy ra sau một hành động. Thường dùng với động từ, tính từ hoặc danh từ ở thể quá khứ (た形) + ら."
"うなぎ","eel","lươn (cá chình nước ngọt)","うなぎ","Từ này thường được viết bằng hiragana là うなぎ, nhưng cũng có thể gặp dạng kanji là 鰻.<br>鰻 (Man): 魚 (Ngư) nghĩa là cá, 曼 (Mạn) nghĩa là dài, kéo dài. Toàn bộ chữ 鰻 chỉ loài cá có thân dài, tức là lươn.","日本では夏によくうなぎを食べます。","In Japan, people often eat eel in the summer.","Ở Nhật Bản, người ta thường ăn lươn vào mùa hè.","うなぎ là một món ăn nổi tiếng ở Nhật Bản, đặc biệt là món うな重 (cơm lươn nướng). Thường được ăn vào ngày 土用の丑の日 (Doyo no Ushi no Hi) để tăng sức khỏe trong mùa hè."
"たこ","octopus","bạch tuộc","たこ","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Tuy nhiên, trong một số trường hợp hiếm, nó có thể được viết là 蛸.<br>蛸 (Tượng): 蛸 gồm bộ 虫 (côn trùng, động vật nhỏ) và bộ 肖 (giống như, hình dáng). Toàn bộ chữ 蛸 dùng để chỉ con bạch tuộc.","たこは海の中に住んでいます。","Octopuses live in the sea.","Bạch tuộc sống dưới biển.","Từ 'たこ' thường được dùng trong ẩm thực Nhật Bản, ví dụ như trong món takoyaki (bánh bạch tuộc)."
"いか","squid","mực (loài động vật biển)","いか","Từ này thường được viết bằng hiragana hoặc katakana (イカ), không có kanji phổ biến. Nếu viết bằng kanji thì là 烏賊, nhưng rất hiếm gặp.<br>烏 (Ô): nghĩa là con quạ.<br>賊 (Tặc): nghĩa là kẻ trộm, kẻ cướp.","寿司屋でいかの寿司を食べました。","I ate squid sushi at the sushi restaurant.","Tôi đã ăn sushi mực ở quán sushi.","いか thường được dùng để chỉ loài mực, đặc biệt là trong ẩm thực Nhật Bản. Thường viết bằng hiragana hoặc katakana, rất hiếm khi dùng kanji."
"ほたて","scallop","sò điệp","ほたて","Từ này thường được viết bằng hiragana hoặc katakana (ホタテ), không có kanji phổ biến. Đôi khi có thể thấy chữ 帆立貝 (phiên âm: hotategai).<br>Giải thích từng chữ:<br>帆 (Phàm): cánh buồm.<br>立 (Lập): đứng, dựng lên.<br>貝 (Bối): sò, hến, các loài động vật có vỏ.","夕食にほたてのバター焼きを作りました。","I made butter-grilled scallops for dinner.","Tôi đã làm sò điệp nướng bơ cho bữa tối.","ほたて là một loại hải sản phổ biến trong ẩm thực Nhật Bản, thường được dùng trong sushi, sashimi hoặc các món nướng. Tên đầy đủ là ほたてがい (帆立貝), nhưng thường gọi tắt là ほたて."
"えび","shrimp; prawn","tôm","えび","Từ này thường được viết bằng hiragana hoặc katakana (エビ), không có kanji phổ biến được sử dụng trong tiếng Nhật hiện đại. Tuy nhiên, trong một số trường hợp hiếm, có thể gặp chữ kanji là 海老.<br>海 (Hải): nghĩa là biển.<br>老 (Lão): nghĩa là già, lớn tuổi.","寿司にえびが入っています。","There is shrimp in the sushi.","Có tôm trong sushi.","えび thường dùng để chỉ các loại tôm nhỏ hoặc tôm sú, và xuất hiện nhiều trong ẩm thực Nhật Bản như sushi, tempura. Thường được viết bằng hiragana hoặc katakana."
"かに","crab","con cua","かに","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến được sử dụng trong đời sống hàng ngày. Kanji của từ này là 蟹 (giải thích: 蟹 nghĩa là con cua, là một loại động vật giáp xác sống ở biển hoặc sông suối).","昨日、海で大きなかにを見つけました。","Yesterday, I found a big crab at the sea.","Hôm qua, tôi đã tìm thấy một con cua lớn ở biển.","Từ này thường được dùng trong ẩm thực và khi nói về động vật biển. Thường viết bằng hiragana hoặc katakana (カニ), ít khi dùng kanji 蟹."
"鶏肉","Chicken meat","Thịt gà","けいにく","鶏肉 có nghĩa là thịt gà.<br>鶏 (Kê): nghĩa là con gà.<br>肉 (Nhục): nghĩa là thịt.","夕食に鶏肉を使ってカレーを作りました。","I made curry using chicken meat for dinner.","Tôi đã nấu cà ri bằng thịt gà cho bữa tối.","鶏肉 là từ phổ biến để chỉ thịt gà trong ẩm thực Nhật Bản. Được sử dụng rộng rãi trong nhiều món ăn như yakitori, karaage, và các món hầm."
"豚肉","Pork","Thịt lợn","ぶたにく","Thịt lợn<br>豚 (Đồn): nghĩa là con lợn, heo.<br>肉 (Nhục): nghĩa là thịt.","私は豚肉が好きです。","I like pork.","Tôi thích thịt lợn.","豚肉 là từ phổ biến để chỉ thịt lợn trong tiếng Nhật. Được sử dụng rộng rãi trong các nhà hàng và siêu thị."
"牛肉","Beef","Thịt bò","ぎゅうにく","Thịt bò<br>牛 (Ngưu): nghĩa là con bò.<br>肉 (Nhục): nghĩa là thịt.","夕食に牛肉を食べました。","I ate beef for dinner.","Tôi đã ăn thịt bò vào bữa tối.","牛肉 là từ phổ biến để chỉ thịt bò trong tiếng Nhật. Thường dùng trong nhà hàng, siêu thị và các món ăn."
"挽き肉","minced meat; ground meat","thịt xay; thịt băm","ひきにく","挽き肉: Thịt được xay nhỏ.<br>挽 (ひき): nghĩa là xay, nghiền, mài (thường dùng cho việc xay thịt, cà phê, v.v.).<br>肉 (にく): nghĩa là thịt.","カレーに挽き肉を入れました。","I added minced meat to the curry.","Tôi đã cho thịt xay vào cà ri.","挽き肉 có thể chỉ cả thịt bò, thịt lợn hoặc hỗn hợp các loại thịt đã được xay nhỏ. Trong siêu thị Nhật Bản, thường sẽ ghi rõ loại thịt (牛挽き肉: thịt bò xay, 豚挽き肉: thịt lợn xay, 合挽き肉: thịt xay hỗn hợp)."
"ベーコン","bacon","thịt xông khói","べーこん","Từ này được viết bằng katakana, không có kanji. Katakana thường dùng để viết các từ mượn từ tiếng nước ngoài.","朝ごはんにベーコンと卵を食べました。","I ate bacon and eggs for breakfast.","Tôi đã ăn thịt xông khói và trứng cho bữa sáng.","ベーコン là từ mượn từ tiếng Anh 'bacon', thường dùng trong các món ăn phương Tây hoặc khi nói về thực phẩm."
"ソーセージ","Sausage","Xúc xích","そーせーじ","Từ này được viết bằng katakana, không có kanji. Đây là từ mượn từ tiếng nước ngoài (tiếng Đức: Wurst hoặc tiếng Anh: sausage).","朝ごはんにソーセージを食べました。","I ate sausage for breakfast.","Tôi đã ăn xúc xích vào bữa sáng.","ソーセージ là từ katakana dùng để chỉ các loại xúc xích, thường dùng trong các bữa ăn sáng hoặc món ăn nhẹ ở Nhật Bản."
"卵","Egg","Trứng","たまご","Toàn bộ từ 卵 có nghĩa là trứng, thường dùng để chỉ trứng của các loài động vật như gà, vịt, cá, v.v.<br>卵 (Noãn): nghĩa là trứng, phôi, hoặc tế bào trứng.","朝ごはんに卵を食べました。","I ate an egg for breakfast.","Tôi đã ăn trứng vào bữa sáng.","卵 thường dùng để chỉ trứng nói chung, đặc biệt là trứng gà. Đọc là たまご (tamago). Ngoài ra, trong các món ăn Nhật Bản, 卵 cũng rất phổ biến."
"豆腐","Tofu (bean curd)","Đậu phụ","とうふ","Đậu Hủ<br>豆 (Đậu): nghĩa là hạt đậu, các loại đậu.<br>腐 (Hủ): nghĩa là mục nát, lên men, dùng để chỉ các sản phẩm lên men hoặc mềm như đậu phụ.","朝ごはんに豆腐を食べました。","I ate tofu for breakfast.","Tôi đã ăn đậu phụ vào bữa sáng.","Đậu phụ là một thực phẩm truyền thống của Nhật Bản, làm từ đậu nành, giàu protein và thường được dùng trong nhiều món ăn như súp miso, nabe, hoặc ăn sống với nước tương."
"米","rice (uncooked); America (abbreviation)","gạo (chưa nấu); Mỹ (viết tắt)","こめ","Chữ 米 có nghĩa là gạo, thường dùng để chỉ gạo chưa nấu. Ngoài ra, trong một số trường hợp, 米 còn được dùng làm từ viết tắt chỉ nước Mỹ (Hoa Kỳ).<br>米: nghĩa là hạt gạo, lúa gạo.","日本では毎日米を食べます。","In Japan, people eat rice every day.","Ở Nhật Bản, người ta ăn cơm (gạo) mỗi ngày.","米 thường dùng để chỉ gạo chưa nấu. Khi nói về cơm đã nấu, người Nhật dùng từ ご飯 (ごはん). Ngoài ra, 米 còn là ký hiệu viết tắt cho nước Mỹ trong các từ như 米国 (べいこく)."
"ご飯","cooked rice; meal","cơm; bữa ăn","ごはん","ご飯 là từ chỉ cơm đã nấu chín hoặc bữa ăn nói chung.<br>ご (御): kính ngữ, dùng để thể hiện sự lịch sự, tôn trọng.<br>飯 (Phạn): nghĩa là cơm, bữa ăn.","朝ご飯を食べましたか？","Did you eat breakfast?","Bạn đã ăn sáng chưa?","ご飯 thường dùng để chỉ cơm trắng đã nấu chín, nhưng cũng có thể dùng để chỉ bữa ăn nói chung. Chữ ご là kính ngữ, làm cho từ này lịch sự hơn."
"うどん","Udon (thick wheat noodles)","Mì udon (mì sợi dày làm từ bột mì)","うどん","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Đôi khi có thể thấy viết là 饂飩, nhưng rất hiếm gặp và không dùng trong đời sống hàng ngày.","昼ごはんにうどんを食べました。","I ate udon for lunch.","Tôi đã ăn mì udon vào bữa trưa.","Udon là một loại mì truyền thống của Nhật Bản, nổi tiếng với sợi mì dày và dai, thường được ăn với nước dùng nóng hoặc lạnh."
"そば","near; beside; soba (buckwheat noodles)","gần; bên cạnh; mì soba (mì kiều mạch của Nhật Bản)","そば","Từ này thường được viết bằng hiragana (そば) khi mang nghĩa 'gần, bên cạnh'. Khi chỉ món ăn mì soba, có thể viết bằng kanji là 蕎麦.<br>蕎 (Kiều): nghĩa là cây kiều mạch.<br>麦 (Mạch): nghĩa là lúa mạch, các loại ngũ cốc.","駅のそばに美味しいそば屋があります。","There is a delicious soba noodle shop near the station.","Có một quán mì soba ngon ở gần nhà ga.","そば có hai nghĩa phổ biến: 1) vị trí gần, bên cạnh; 2) món mì soba làm từ bột kiều mạch. Nghĩa được hiểu dựa vào ngữ cảnh."
"パン","bread","bánh mì","ぱん","Từ này không có kanji, được viết bằng katakana vì là từ mượn từ tiếng Bồ Đào Nha ""pão"" (nghĩa là bánh mì).","朝ごはんにパンを食べました。","I ate bread for breakfast.","Tôi đã ăn bánh mì vào bữa sáng.","パン là từ mượn, thường dùng để chỉ các loại bánh mì kiểu phương Tây. Viết bằng katakana để thể hiện nguồn gốc ngoại lai."
"味噌","Miso (fermented soybean paste)","Miso (tương đậu nành lên men)","みそ","Vị Tăng<br>味 (Vị): nghĩa là vị, mùi vị, hương vị.<br>噌 (Tăng): trong từ này chỉ dùng để chỉ loại tương lên men, bản thân chữ này ít dùng độc lập.","味噌汁は日本の伝統的なスープです。","Miso soup is a traditional Japanese soup.","Súp miso là một món súp truyền thống của Nhật Bản.","味噌 là một loại gia vị truyền thống của Nhật Bản, được làm từ đậu nành lên men với muối và men koji. Thường dùng trong các món súp, nước chấm và nhiều món ăn khác."
"醤油","Soy sauce","Nước tương (xì dầu)","しょうゆ","醤油 là nước tương, một loại gia vị lỏng lên men từ đậu nành, phổ biến trong ẩm thực Nhật Bản và châu Á.<br>醤 (Tương): nghĩa là tương, các loại sốt lên men từ đậu hoặc ngũ cốc.<br>油 (Du): nghĩa là dầu, chất lỏng có tính nhờn.","寿司には醤油をつけて食べます。","We eat sushi with soy sauce.","Chúng ta ăn sushi với nước tương.","醤油 là một gia vị rất phổ biến trong ẩm thực Nhật Bản, thường dùng để chấm hoặc nêm nếm món ăn."
"酢","Vinegar","Giấm","す","酢: Giấm (một loại gia vị có vị chua, thường dùng trong nấu ăn).<br>酢 (Tạc): nghĩa là giấm, chất lỏng có vị chua được lên men từ rượu hoặc các loại thực phẩm khác.","サラダに酢をかけました。","I put vinegar on the salad.","Tôi đã rưới giấm lên salad.","酢 là một gia vị phổ biến trong ẩm thực Nhật Bản, thường dùng để làm sushi, trộn salad hoặc làm nước chấm."
"砂糖","Sugar","Đường (dùng trong ăn uống)","さとう","砂糖 có nghĩa là đường, chất ngọt dùng trong nấu ăn.<br>砂 (Sa): nghĩa là cát, hạt nhỏ.<br>糖 (Đường): nghĩa là đường (chất ngọt), các loại carbohydrate ngọt.","コーヒーに砂糖を入れますか？","Do you put sugar in your coffee?","Bạn có cho đường vào cà phê không?","砂糖 là từ phổ biến chỉ đường ăn, thường dùng trong nấu ăn và đồ uống. Đọc là さとう (satou)."
"塩","Salt","Muối","しお","Toàn bộ từ 塩 có nghĩa là muối, là gia vị phổ biến dùng trong nấu ăn và bảo quản thực phẩm.<br>塩 (Diêm): nghĩa là muối, chỉ loại khoáng chất dùng làm gia vị.","料理に塩を少し入れてください。","Please add a little salt to the dish.","Hãy cho một chút muối vào món ăn.","塩 là một từ cơ bản, thường xuất hiện trong các tình huống nấu ăn hoặc nói về gia vị. Đọc là しお (shio)."
"胡椒","Pepper (spice)","Hạt tiêu, tiêu (gia vị)","こしょう","Hồ Tiêu<br>胡椒 là từ chỉ gia vị tiêu (hạt tiêu) dùng trong nấu ăn.<br>胡 (Hồ): nghĩa là hồ, thường dùng để chỉ các vùng phía tây Trung Quốc hoặc các vật ngoại lai, ở đây mang nghĩa là ngoại lai, từ nước ngoài.<br>椒 (Tiêu): nghĩa là tiêu, chỉ loại cây tiêu hoặc gia vị tiêu.","料理に胡椒を少し入れました。","I added a little pepper to the dish.","Tôi đã cho một ít tiêu vào món ăn.","胡椒 thường chỉ tiêu đen hoặc tiêu trắng dùng làm gia vị. Đọc là こしょう (koshou)."
"食用油","Edible oil; cooking oil","Dầu ăn","しょくようゆ","Dầu ăn<br>食 (Thực): nghĩa là ăn, thực phẩm.<br>用 (Dụng): nghĩa là sử dụng, dùng cho.<br>油 (Du): nghĩa là dầu, chất lỏng nhờn.","食用油を使って野菜を炒めます。","I stir-fry vegetables using cooking oil.","Tôi xào rau bằng dầu ăn.","食用油 là từ chung chỉ các loại dầu dùng trong nấu ăn như dầu thực vật, dầu động vật. Thường thấy trên nhãn sản phẩm hoặc trong công thức nấu ăn."
"油","oil","Dầu (dầu ăn, dầu mỡ, dầu nói chung)","あぶら","Chữ này là chữ 'Dầu', chỉ các loại dầu như dầu ăn, dầu mỡ, dầu khoáng, v.v.<br>油 (Dầu): Bộ thủ là '氵' (nước) kết hợp với '由' (do, nguyên nhân), ý chỉ chất lỏng có tính nhờn, trơn, thường dùng để chỉ dầu ăn, dầu máy, dầu khoáng.","サラダに油をかけました。","I put oil on the salad.","Tôi đã rưới dầu lên salad.","油 thường dùng để chỉ dầu ăn, dầu mỡ, hoặc dầu máy. Đọc là 'あぶら' khi nói về dầu ăn, dầu mỡ; còn 'ゆ' thường dùng trong các từ ghép như 石油 (せきゆ - dầu mỏ)."
"バター","Butter","Bơ (thực phẩm làm từ sữa)","ばたー","Từ này được viết bằng katakana vì là từ mượn (gốc tiếng Anh: butter), không có kanji.","パンにバターをぬって食べます。","I spread butter on bread and eat it.","Tôi phết bơ lên bánh mì rồi ăn.","バター là từ mượn tiếng Anh, thường được viết bằng katakana. Được sử dụng phổ biến trong nấu ăn và các món ăn phương Tây."
"牛乳","Milk (cow's milk)","Sữa bò","ぎゅうにゅう","牛乳 có nghĩa là sữa bò.<br>牛 (Ngưu): nghĩa là con bò.<br>乳 (Nhũ): nghĩa là sữa.","毎朝、牛乳を飲みます。","I drink milk every morning.","Tôi uống sữa bò mỗi sáng.","牛乳 thường dùng để chỉ sữa bò, không phải các loại sữa khác như sữa đậu nành. Đây là từ phổ biến trong cuộc sống hàng ngày."
"チーズ","Cheese","Phô mai","ちーず","Từ này không có kanji, nó được viết bằng katakana vì là từ mượn từ tiếng nước ngoài (tiếng Anh: cheese).","サンドイッチにチーズを入れました。","I put cheese in the sandwich.","Tôi đã cho phô mai vào bánh sandwich.","チーズ là từ mượn (gairaigo) từ tiếng Anh, thường được viết bằng katakana. Được sử dụng phổ biến trong ẩm thực Nhật Bản."
